period,grade,auc,n_loans,default_rate
2017-09-01,G,0.51,177,0.3559
2017-10-01,A,0.6353,135,0.0148
2017-10-01,B,0.6728,141,0.0426
2017-10-01,C,0.6222,135,0.1481
2017-10-01,D,0.5096,124,0.1613
2017-10-01,E,0.4909,146,0.2397
2017-10-01,F,0.5595,134,0.291
2017-10-01,G,0.4277,149,0.4027
2017-11-01,A,0.6295,143,0.028
2017-11-01,B,0.6875,136,0.0588
2017-11-01,C,0.4698,141,0.1064
2017-11-01,D,0.3981,137,0.2117
2017-11-01,E,0.4686,144,0.1597
2017-11-01,F,0.4281,147,0.2381
2017-11-01,G,0.5362,100,0.24
2017-12-01,A,0.6974,122,0.041
2017-12-01,B,0.3458,123,0.0407
2017-12-01,C,0.5543,124,0.0565
2017-12-01,D,0.5922,139,0.1655
2017-12-01,E,0.4116,110,0.1091
2017-12-01,F,0.5689,119,0.2857
2017-12-01,G,0.5479,58,0.1724
2018-01-01,A,0.8045,222,0.009
2018-01-01,B,0.615,217,0.0553
2018-01-01,C,0.4468,218,0.0642
2018-01-01,D,0.3798,219,0.0639
2018-01-01,E,0.5975,219,0.1324
2018-01-01,F,0.4563,204,0.2598
2018-01-01,G,0.5481,34,0.2353
2018-02-01,A,0.8462,79,0.0127
2018-02-01,B,0.4267,76,0.0132
2018-02-01,C,0.4286,81,0.1358
2018-02-01,D,0.411,84,0.131
2018-02-01,E,0.593,81,0.1235
2018-02-01,F,0.5557,78,0.2949
2018-02-01,G,0.5278,46,0.2174
2018-03-01,B,0.481,107,0.0187
2018-03-01,C,0.4718,101,0.0792
2018-03-01,D,0.5878,97,0.1443
2018-03-01,E,0.5535,100,0.17
2018-03-01,F,0.6905,100,0.16
2018-03-01,G,0.3795,36,0.2222
2018-04-01,A,0.7336,262,0.0115
2018-04-01,B,0.448,258,0.0388
2018-04-01,C,0.5682,258,0.0969
2018-04-01,D,0.4822,260,0.1462
2018-04-01,E,0.4835,252,0.1389
2018-04-01,F,0.433,134,0.2015
2018-04-01,G,0.5799,60,0.2
2018-05-01,A,0.7941,87,0.023
2018-05-01,B,0.5383,99,0.0505
2018-05-01,C,0.435,108,0.0741
2018-05-01,D,0.6279,92,0.0652
2018-05-01,E,0.3931,91,0.0879
2018-05-01,F,0.5823,90,0.0889
2018-05-01,G,0.5058,66,0.1667
2018-06-01,A,0.6905,85,0.0118
2018-06-01,B,0.5909,91,0.033
2018-06-01,C,0.5093,75,0.04
2018-06-01,D,0.3158,80,0.05
2018-06-01,E,0.56,90,0.1111
2018-06-01,F,0.4651,116,0.2155
2018-06-01,G,0.6618,56,0.125
2018-07-01,B,0.3832,112,0.0446
2018-07-01,C,0.5146,107,0.0374
2018-07-01,D,0.1749,104,0.0288
2018-07-01,E,0.3926,113,0.0442
2018-07-01,F,0.4872,109,0.1193
2018-07-01,G,0.394,105,0.1333
2018-08-01,A,0.5537,151,0.0132
2018-08-01,B,0.4311,127,0.0472
2018-08-01,C,0.4361,149,0.0201
2018-08-01,D,0.4217,141,0.0638
2018-08-01,E,0.41,122,0.0738
2018-08-01,F,0.4383,135,0.1481
2018-08-01,G,0.446,102,0.1275
2018-09-01,B,0.4321,161,0.0311
2018-09-01,C,0.6014,144,0.0069
2018-09-01,D,0.4683,155,0.0645
2018-09-01,E,0.3632,165,0.0545
2018-09-01,F,0.4392,156,0.0769
2018-09-01,G,0.2808,65,0.1077
2018-10-01,B,0.4012,90,0.0444
2018-10-01,C,0.6136,89,0.0112
2018-10-01,D,0.6099,97,0.0309
2018-10-01,E,0.1667,81,0.037
2018-10-01,F,0.2162,104,0.0481
2018-10-01,G,0.6403,68,0.1324
2018-11-01,B,0.3588,87,0.023
2018-11-01,D,0.5842,100,0.03
2018-11-01,E,0.3786,117,0.0427
2018-11-01,F,0.5,48,0.0417
2018-12-01,A,0.5747,175,0.0057
2018-12-01,C,0.4303,167,0.012
2018-12-01,D,0.7059,171,0.0058
2018-12-01,E,0.4167,169,0.0237
